Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,37172386,38041754
"Population, total",SP.POP.TOTL,Albania,ALB,2866376,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,42228429,43053054
"Population, total",SP.POP.TOTL,American Samoa,ASM,55465,55312
"Population, total",SP.POP.TOTL,Andorra,AND,77006,77142
"Population, total",SP.POP.TOTL,Angola,AGO,30809762,31825295
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,96286,97118
"Population, total",SP.POP.TOTL,Argentina,ARG,44494502,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2951776,2957731
"Population, total",SP.POP.TOTL,Aruba,ABW,105845,106314
"Population, total",SP.POP.TOTL,Australia,AUS,24982688,25364307
"Population, total",SP.POP.TOTL,Austria,AUT,8840521,8877067
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9939771,10023318
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,385640,389482
"Population, total",SP.POP.TOTL,Bahrain,BHR,1569439,1641172
"Population, total",SP.POP.TOTL,Bangladesh,BGD,161356039,163046161
"Population, total",SP.POP.TOTL,Barbados,BRB,286641,287025
"Population, total",SP.POP.TOTL,Belarus,BLR,9483499,9466856
"Population, total",SP.POP.TOTL,Belgium,BEL,11427054,11484055
"Population, total",SP.POP.TOTL,Belize,BLZ,383071,390353
"Population, total",SP.POP.TOTL,Benin,BEN,11485048,11801151
"Population, total",SP.POP.TOTL,Bermuda,BMU,63920,63918
"Population, total",SP.POP.TOTL,Bhutan,BTN,754394,763092
"Population, total",SP.POP.TOTL,Bolivia,BOL,11353142,11513100
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3323929,3301000
"Population, total",SP.POP.TOTL,Botswana,BWA,2254126,2303697
"Population, total",SP.POP.TOTL,Brazil,BRA,209469333,211049527
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29802,30030
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,428962,433285
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7025037,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,19751535,20321378
"Population, total",SP.POP.TOTL,Burundi,BDI,11175378,11530580
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,543767,549935
"Population, total",SP.POP.TOTL,Cambodia,KHM,16249798,16486542
"Population, total",SP.POP.TOTL,Cameroon,CMR,25216237,25876380
"Population, total",SP.POP.TOTL,Canada,CAN,37057765,37589262
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,64174,64948
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4666377,4745185
"Population, total",SP.POP.TOTL,Chad,TCD,15477751,15946876
"Population, total",SP.POP.TOTL,Channel Islands,CHI,170499,172259
"Population, total",SP.POP.TOTL,Chile,CHL,18729160,18952038
"Population, total",SP.POP.TOTL,China,CHN,1392730000,1397715000
"Population, total",SP.POP.TOTL,Colombia,COL,49648685,50339443
"Population, total",SP.POP.TOTL,Comoros,COM,832322,850886
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,84068091,86790567
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5244363,5380508
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4999441,5047561
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,25069229,25716544
"Population, total",SP.POP.TOTL,Croatia,HRV,4087843,4067500
"Population, total",SP.POP.TOTL,Cuba,CUB,11338138,11333483
"Population, total",SP.POP.TOTL,Curacao,CUW,159800,157538
"Population, total",SP.POP.TOTL,Cyprus,CYP,1189265,1198575
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10629928,10669709
"Population, total",SP.POP.TOTL,Denmark,DNK,5793636,5818553
"Population, total",SP.POP.TOTL,Djibouti,DJI,958920,973560
"Population, total",SP.POP.TOTL,Dominica,DMA,71625,71808
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10627165,10738958
"Population, total",SP.POP.TOTL,Ecuador,ECU,17084357,17373662
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,98423595,100388073
"Population, total",SP.POP.TOTL,El Salvador,SLV,6420744,6453553
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1308974,1355986
"Population, total",SP.POP.TOTL,Eritrea,ERI,..,..
"Population, total",SP.POP.TOTL,Estonia,EST,1321977,1326590
"Population, total",SP.POP.TOTL,Ethiopia,ETH,109224559,112078730
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48497,48678
"Population, total",SP.POP.TOTL,Fiji,FJI,883483,889953
"Population, total",SP.POP.TOTL,Finland,FIN,5515525,5520314
"Population, total",SP.POP.TOTL,France,FRA,66965912,67059887
"Population, total",SP.POP.TOTL,French Polynesia,PYF,277679,279287
"Population, total",SP.POP.TOTL,Gabon,GAB,2119275,2172579
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2280102,2347706
"Population, total",SP.POP.TOTL,Georgia,GEO,3726549,3720382
"Population, total",SP.POP.TOTL,Germany,DEU,82905782,83132799
"Population, total",SP.POP.TOTL,Ghana,GHA,29767108,30417856
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33718,33701
"Population, total",SP.POP.TOTL,Greece,GRC,10732882,10716322
"Population, total",SP.POP.TOTL,Greenland,GRL,56023,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,111454,112003
"Population, total",SP.POP.TOTL,Guam,GUM,165768,167294
"Population, total",SP.POP.TOTL,Guatemala,GTM,16346950,16604026
"Population, total",SP.POP.TOTL,Guinea,GIN,12414318,12771246
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1874309,1920922
"Population, total",SP.POP.TOTL,Guyana,GUY,779004,782766
"Population, total",SP.POP.TOTL,Haiti,HTI,11123176,11263077
"Population, total",SP.POP.TOTL,Honduras,HND,9587522,9746117
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7451000,7507400
"Population, total",SP.POP.TOTL,Hungary,HUN,9775564,9769949
"Population, total",SP.POP.TOTL,Iceland,ISL,352721,361313
"Population, total",SP.POP.TOTL,India,IND,1352617328,1366417754
"Population, total",SP.POP.TOTL,Indonesia,IDN,267663435,270625568
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,81800269,82913906
"Population, total",SP.POP.TOTL,Iraq,IRQ,38433600,39309783
"Population, total",SP.POP.TOTL,Ireland,IRL,4867316,4941444
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84077,84584
"Population, total",SP.POP.TOTL,Israel,ISR,8882800,9053300
"Population, total",SP.POP.TOTL,Italy,ITA,60421760,60297396
"Population, total",SP.POP.TOTL,Jamaica,JAM,2934855,2948279
"Population, total",SP.POP.TOTL,Japan,JPN,126529100,126264931
"Population, total",SP.POP.TOTL,Jordan,JOR,9956011,10101694
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18276498.5,18513930
"Population, total",SP.POP.TOTL,Kenya,KEN,51393010,52573973
"Population, total",SP.POP.TOTL,Kiribati,KIR,115847,117606
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,25549819,25666161
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51606633,51709098
"Population, total",SP.POP.TOTL,Kosovo,XKX,1797085,1794248
"Population, total",SP.POP.TOTL,Kuwait,KWT,4137312,4207083
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6322800,6456900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7061507,7169455
"Population, total",SP.POP.TOTL,Latvia,LVA,1927174,1912789
"Population, total",SP.POP.TOTL,Lebanon,LBN,6848925,6855713
"Population, total",SP.POP.TOTL,Lesotho,LSO,2108132,2125268
"Population, total",SP.POP.TOTL,Liberia,LBR,4818977,4937374
"Population, total",SP.POP.TOTL,Libya,LBY,6678567,6777452
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37910,38019
"Population, total",SP.POP.TOTL,Lithuania,LTU,2801543,2786844
"Population, total",SP.POP.TOTL,Luxembourg,LUX,607950,619896
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,631636,640445
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2082958,2083459
"Population, total",SP.POP.TOTL,Madagascar,MDG,26262368,26969307
"Population, total",SP.POP.TOTL,Malawi,MWI,18143315,18628747
"Population, total",SP.POP.TOTL,Malaysia,MYS,31528585,31949777
"Population, total",SP.POP.TOTL,Maldives,MDV,515696,530953
"Population, total",SP.POP.TOTL,Mali,MLI,19077690,19658031
"Population, total",SP.POP.TOTL,Malta,MLT,484630,502653
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,58413,58791
"Population, total",SP.POP.TOTL,Mauritania,MRT,4403319,4525696
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265303,1265711
"Population, total",SP.POP.TOTL,Mexico,MEX,126190788,127575529
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,112640,113815
"Population, total",SP.POP.TOTL,Moldova,MDA,2706049,2657637
"Population, total",SP.POP.TOTL,Monaco,MCO,38682,38964
"Population, total",SP.POP.TOTL,Mongolia,MNG,3170208,3225167
"Population, total",SP.POP.TOTL,Montenegro,MNE,622227,622137
"Population, total",SP.POP.TOTL,Morocco,MAR,36029138,36471769
"Population, total",SP.POP.TOTL,Mozambique,MOZ,29495962,30366036
"Population, total",SP.POP.TOTL,Myanmar,MMR,53708395,54045420
"Population, total",SP.POP.TOTL,Namibia,NAM,2448255,2494530
"Population, total",SP.POP.TOTL,Nauru,NRU,12704,12581
"Population, total",SP.POP.TOTL,Nepal,NPL,28087871,28608710
"Population, total",SP.POP.TOTL,Netherlands,NLD,17231624,17332850
"Population, total",SP.POP.TOTL,New Caledonia,NCL,284060,287800
"Population, total",SP.POP.TOTL,New Zealand,NZL,4841000,4917000
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6465513,6545502
"Population, total",SP.POP.TOTL,Niger,NER,22442948,23310715
"Population, total",SP.POP.TOTL,Nigeria,NGA,195874740,200963599
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,56882,57216
"Population, total",SP.POP.TOTL,Norway,NOR,5311916,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4829483,4974986
"Population, total",SP.POP.TOTL,Pakistan,PAK,212215030,216565318
"Population, total",SP.POP.TOTL,Palau,PLW,17907,18008
"Population, total",SP.POP.TOTL,Panama,PAN,4176873,4246439
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8606316,8776109
"Population, total",SP.POP.TOTL,Paraguay,PRY,6956071,7044636
"Population, total",SP.POP.TOTL,Peru,PER,31989256,32510453
"Population, total",SP.POP.TOTL,Philippines,PHL,106651922,108116615
"Population, total",SP.POP.TOTL,Poland,POL,37974750,37970874
"Population, total",SP.POP.TOTL,Portugal,PRT,10283822,10269417
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3193354,3193694
"Population, total",SP.POP.TOTL,Qatar,QAT,2781677,2832067
"Population, total",SP.POP.TOTL,Romania,ROU,19472545,19356544
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144477860,144373535
"Population, total",SP.POP.TOTL,Rwanda,RWA,12301939,12626950
"Population, total",SP.POP.TOTL,Samoa,WSM,196130,197097
"Population, total",SP.POP.TOTL,San Marino,SMR,33785,33860
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,211028,215056
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,33699947,34268528
"Population, total",SP.POP.TOTL,Senegal,SEN,15854360,16296364
"Population, total",SP.POP.TOTL,Serbia,SRB,6982604,6944975
"Population, total",SP.POP.TOTL,Seychelles,SYC,96762,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7650154,7813215
"Population, total",SP.POP.TOTL,Singapore,SGP,5638676,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40654,40733
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5446771,5454073
"Population, total",SP.POP.TOTL,Slovenia,SVN,2073894,2087946
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,652858,669823
"Population, total",SP.POP.TOTL,Somalia,SOM,15008154,15442905
"Population, total",SP.POP.TOTL,South Africa,ZAF,57779622,58558270
"Population, total",SP.POP.TOTL,South Sudan,SSD,10975920,11062113
"Population, total",SP.POP.TOTL,Spain,ESP,46797754,47076781
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21670000,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,52441,52823
"Population, total",SP.POP.TOTL,St. Lucia,LCA,181889,182790
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,37264,38002
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,110210,110589
"Population, total",SP.POP.TOTL,Sudan,SDN,41801533,42813238
"Population, total",SP.POP.TOTL,Suriname,SUR,575991,581372
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1136191,1148130
"Population, total",SP.POP.TOTL,Sweden,SWE,10175214,10285453
"Population, total",SP.POP.TOTL,Switzerland,CHE,8514329,8574832
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,16906283,17070135
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9100837,9321018
"Population, total",SP.POP.TOTL,Tanzania,TZA,56318348,58005463
"Population, total",SP.POP.TOTL,Thailand,THA,69428524,69625582
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1267972,1293119
"Population, total",SP.POP.TOTL,Togo,TGO,7889094,8082366
"Population, total",SP.POP.TOTL,Tonga,TON,103197,104494
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1389858,1394973
"Population, total",SP.POP.TOTL,Tunisia,TUN,11565204,11694719
"Population, total",SP.POP.TOTL,Turkey,TUR,82319724,83429615
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5850908,5942089
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,37665,38191
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11508,11646
"Population, total",SP.POP.TOTL,Uganda,UGA,42723139,44269594
