Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,70835171,9074.090703805772,4308971,598100,1605243,205.6340145441209,74796,9796,
United States of America,Americas,15860675,47917.06,1463540,212577,295406,892.46,16600,2277,Community transmission
India,South-East Asia,9884100,7162.37,206897,27071,143355,103.88,2782,336,Clusters of cases
Brazil,Americas,6880127,32368.02,302950,43900,181123,852.11,4495,686,Community transmission
Russian Federation,Europe,2653928,18185.75,193158,28080,46941,321.66,3800,488,Clusters of cases
France,Europe,2324603,35613.27,82773,13902,57392,879.25,2774,194,Community transmission
The United Kingdom,Europe,1830960,26971.09,124985,21501,64026,943.14,3012,520,Community transmission
Italy,Europe,1825775,30197.15,115784,19902,64036,1059.11,4522,649,Clusters of cases
Spain,Europe,1730575,37013.86,28764,0,47624,1018.59,636,0,Community transmission
Argentina,Americas,1494602,33069.51,34770,5274,40668,899.82,1036,62,Community transmission
Colombia,Americas,1417072,27849.68,54823,8163,38866,763.83,1233,197,Community transmission
Germany,Europe,1320716,15763.35,149394,20200,21787,260.04,3015,321,Clusters of cases
Mexico,Americas,1241436,9628.55,73041,12057,113704,881.89,4248,685,Community transmission
Poland,Europe,1126700,29770.17,72427,11499,22676,599.16,2815,502,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1108269,13194.79,67722,7451,52196,621.43,1886,247,Community transmission
Turkey,Europe,995471,11803.2,219115,29136,16199,192.07,1494,222,Community transmission
Peru,Americas,983045,29814.67,10357,2102,36609,1110.31,378,65,Community transmission
Ukraine,Europe,885039,20236.97,71733,0,14998,342.94,1410,0,Community transmission
South Africa,Africa,852965,14381.79,42516,7882,23106,389.59,1039,154,Community transmission
Indonesia,South-East Asia,617820,2258.74,42024,6189,18819,68.8,1079,166,Community transmission
Belgium,Europe,605830,52273.49,13411,1,17902,1544.66,538,12,Community transmission
Netherlands,Europe,603140,35199.56,53356,9182,10010,584.19,361,53,Community transmission
Czechia,Europe,579079,54074.15,34900,3657,9535,890.37,720,85,Community transmission
Iraq,Eastern Mediterranean,574634,14286.38,10434,1012,12579,312.74,147,14,Community transmission
Chile,Americas,571919,29918.03,11537,2138,15886,831.02,258,40,Community transmission
Romania,Europe,551900,28688.47,43555,6333,13264,689.48,1078,148,Community transmission
Bangladesh,South-East Asia,490533,2978.53,12988,1355,7052,42.82,214,32,Community transmission
Canada,Americas,454852,12051.56,45931,6011,13350,353.72,761,99,Community transmission
Philippines,Western Pacific,449400,4101.07,9566,1069,8733,79.69,179,3,Community transmission
Pakistan,Eastern Mediterranean,438425,1984.79,21926,3369,8796,39.82,435,72,Clusters of cases
Morocco,Eastern Mediterranean,399609,10826.41,19952,2012,6624,179.46,379,35,Clusters of cases
Switzerland,Europe,372329,43020.83,25970,0,5378,621.4,488,0,Community transmission
Saudi Arabia,Eastern Mediterranean,359888,10337.49,1175,139,6048,173.72,83,12,Sporadic cases
